DAYS OF THE WEEK,DATE,SLEEP SCORE,HOURS OF SLEEP,REM SLEEP,DEEP SLEEP,HEART RATE BELOW RESTING,SLEEP TIME,MONTH,SLEEP START,SLEEP END
Friday,04/01/2022,90.0,7:22:00,18.00%,21.00%,98.00%,9:49pm - 6:01am,APRIL,21:49,06:01
Saturday,04/02/2022,89.0,8:40:00,21.00%,21.00%,73.00%,9:50pm - 7:26am,APRIL,21:50,07:26
Sunday,04/03/2022,81.0,8:52:00,21.00%,17.00%,26.00%,11:29pm - 9:54am,APRIL,23:29,09:54
Monday,04/04/2022,83.0,6:50:00,17.00%,19.00%,99.00%,10:12pm - 5:49am,APRIL,22:12,05:49
Tuesday,04/05/2022,84.0,6:57:00,18.00%,21.00%,97.00%,9:45pm - 5:43am,APRIL,21:45,05:43
Wednesday,04/06/2022,83.0,7:27:00,17.00%,19.00%,77.00%,9:22pm - 6:14am,APRIL,21:22,06:14
Thursday,04/07/2022,87.0,7:57:00,22.00%,14.00%,68.00%,10:05pm - 6:55am,APRIL,22:05,06:55
Friday,04/08/2022,83.0,7:27:00,19.00%,18.00%,71.00%,9:42pm - 6:36am,APRIL,21:42,06:36
Saturday,04/09/2022,87.0,8:12:00,19.00%,15.00%,71.00%,11:27pm - 8:36am,APRIL,23:27,08:36
Sunday,04/10/2022,83.0,6:57:00,15.00%,18.00%,96.00%,12:53am - 8:39am,APRIL,00:53,08:39
Monday,04/11/2022,88.0,7:39:00,17.00%,19.00%,98.00%,9:35pm - 6:02am,APRIL,21:35,06:02
Tuesday,04/12/2022,86.0,8:00:00,20.00%,19.00%,73.00%,9:52pm - 7:10am,APRIL,21:52,07:10
Wednesday,04/13/2022,82.0,7:48:00,11.00%,13.00%,73.00%,10:51pm - 8:02am,APRIL,22:51,08:02
Thursday,04/14/2022,83.0,7:19:00,19.00%,23.00%,77.00%,9:35pm - 5:58am,APRIL,21:35,05:58
Friday,04/15/2022,82.0,8:04:00,17.00%,19.00%,57.00%,11:37pm - 8:52am,APRIL,23:37,08:52
Saturday,04/16/2022,90.0,9:39:00,21.00%,17.00%,96.00%,9:43pm - 8:35am,APRIL,21:43,08:35
Sunday,04/17/2022,91.0,7:32:00,24.00%,14.00%,99.00%,10:50pm - 7:21am,APRIL,22:50,07:21
Monday,04/18/2022,89.0,7:59:00,17.00%,18.00%,95.00%,10:14pm - 7:04am,APRIL,22:14,07:04
Tuesday,04/19/2022,82.0,7:59:00,15.00%,17.00%,45.00%,10:04pm - 7:08am,APRIL,22:04,07:08
